1,-
1,–
1,，
1,a菜滷肉煲
1,a餐係咩嚟我唔記得咗
1,m到唔好食雪糕
1,s會館裏有三間屋，
1,一不小心把盛滿水的杯子打翻了
1,一世人兩兄弟有好嘢梗預埋你
1,（一九一八年四月。）
1,一九九九年
1,一九九六至九七年度九龍區植樹以防土地侵蝕計劃
1,一九二二年十二月三日，
1,一九二二年十二月三日，魯迅記于北京。
1,一九八零年代打後
1,一九六五年印尼排華，唔少人移居中國或者香港
1,一九四七年嘅方言文學運動亦有一大堆粵語作品
1,一、二、三、四、五
1,一件事究竟係好事定係壞事
1,一份愛
1,一份日本研究就指出
1,一位女大學生已經持續咳嗽半年多
1,一係唔好應承，
1,一個人企喺條街度
1,一個人嘅問題，兩個人去修正
1,一個人嘅挫敗，兩個人去承擔
1,一個人站在民主牆前大叫
1,一個天真無邪嘅可愛女仔
1,一個市民站在你跟前謾罵要出催淚彈？
1,一個書包
1,一個比一個貪得無厭
1,一個轉身，一種別離，一種沉醉
1,一億
1,一億三千五百二十三萬二千零四十
1,一元復始
1,一共五款，有三文魚、吞拿魚、白鱲和八爪魚
1,一刀切下蛋糕
1,一分收穫
1,一分耕耘
1,一分錢一分貨邊到有咁大隻蛤乸隨街跳呀
1,一切捨不得改變
1,一切的事物都是等價交換
1,一切的痛苦都完結了
1,一切都太突然了
1,一切都是一個謎
1,一到説破他們的隱情，
1,一副鬼靈精的樣子
1,一千
1,一千萬
1,一口價平兩嚿
1,一口鹽酥雞
1,一句好打得就是不能輸
1,一句工作還好嗎也像對他刺探
1,一句講哂
1,一句責備話深入聰明人的心
1,一同對着咪大叫聖誕快樂
1,一名姓張男乘客表示，他當時正闔眼淺睡
1,一味要好，
1,一命二運三風水四積陰德五讀書
1,一品扣肉煲
1,一啲透明膠紙
1,一嚿大擦膠
1,一園春雨杏花紅
1,一夜干花魚
1,一大群同學跑到阿明面前
1,一天他累得再沒力氣去求存
1,一天你會如明星璀璨
1,一天當你發現瓶子空空如也時
1,一定不會等太久的
1,一定也聽到風聲，
1,一定可以在把所有東西做完
1,一定是他喜歡的書吧！
1,一定要多吃生菓
1,一定要學管理
1,一定要有個領導
1,一定要行出嚟
1,一家老少談笑風生
1,「一帶一路」建設
1,一年一度嘅啤酒節又返嚟喇
1,一張瓦通紙
1,一把年紀說這些怪害羞吧！
1,一把鉸剪
1,一把間尺
1,一日到黑剩係識得對住部電腦。
1,一日話你都唔聽實撞版呀
1,一日食到黑，好似隻豬咁。
1,一早見到醫生後當然是被罵
1,一早都知，佢地死口唔認啫
1,一星期七日都著同一對鞋
1,一朝得志語無倫次
1,一條友係條街度
1,一條很闊的大道
1,一次又一次的讓我失魂落魄
1,一次生兩次熟三次大結局
1,一片喫得，整個的自然也喫得。
1,一瓶子的運氣
1,一百
1,一百萬
1,一百蚊啦
1,一直不得要領
1,一直以來只是政府輕視了年輕人
1,一直以來，香港嘅中學教育有中國歷史同埋世界歷史科目
1,一直以為是感冒
1,一直推開我們大叫我們不給她喝水
1,一直沒問他為何會主動走出來
